id,name,latitude,longitude
lc-001,쿠팡 이천 풀필먼트센터,37.2311841357446,127.365146350326
lc-002,CJ대한통운 곤지암 메가허브,37.3473,127.2942
lc-003,ESR 인천 물류센터,37.544,126.665
lc-004,광주 장지동 저온물류센터,37.4053445580374,127.232264457828
lc-005,광주 신월리 저온물류센터,37.4022496376559,127.317160340956
lc-006,광주 진우리 상온물류센터,37.3201370103939,127.341942030099
lc-007,광주 노곡리 복합물류센터,37.3022175459658,127.340611144347
lc-008,기흥 복합물류센터,37.224542312156,127.099034069243
lc-009,용인 남사 저온물류센터,37.1559058063309,127.1428757471
lc-010,용인 테크노밸리 복합물류센터,37.1741860396579,127.208737318244
lc-011,P&A 남사 풀필먼트센터,37.1149275793625,127.17374914063
lc-012,양지 케이로지스 물류센터,37.2362016711417,127.309954175931
lc-013,용인 백암 FRESH센터,37.1695400120307,127.378891441412
lc-014,이천 도지 복합물류센터,37.3218867031413,127.482205003643
lc-015,이천 현방리 복합물류센터,37.332854062753,127.49440738347
lc-016,이천 표교리 저온물류센터,37.25492172587,127.401164058486
lc-017,케이로지스 서이천2센터,37.2542820712668,127.37644329545
lc-018,이천 롯데 덕평 물류센터,37.2350595581315,127.363081589966
lc-019,로지포트 부발 물류센터,37.2997465689766,127.524598207445
lc-020,이천 가산리 물류센터,37.2459479705863,127.518017111887
lc-021,이천 군량리 복합물류센터,37.1817634257521,127.506736164793
lc-022,로지스포인트 여주 A동,37.234393514445,127.656722622439
lc-023,여주 신해리 복합물류센터,37.2271440754483,127.540041266572
lc-024,여주 삼군리 복합물류센터,37.2197305382519,127.560935727453
lc-025,청라 로지스틱스센터 (CLC),37.5114914857684,126.640053562099
lc-026,로지스허브 인천 물류센터,37.5114914857684,126.640053562099
lc-027,인천 원창동 저온물류센터,37.5114914857684,126.640053562099
lc-028,인천 스마트콤플렉스,37.3948569954354,126.69630508548
lc-029,고양 설문 물류센터,37.7208022679853,126.806484366277
lc-030,케이로지스 김포 물류센터,37.5914032821412,126.789573080404
lc-031,김포 대포리 복합물류센터,37.605659289732,126.620393294871
lc-032,로지스포인트 김포 물류센터,37.6029624541033,126.596177180519
lc-033,부천 내동 복합물류센터,37.520879394672,126.781020261773
